year,fullyear,money,inflation
'04,2004,827249.34,1039789.37
'05,2005,783813.24,952909.01
'06,2006,773378.48,910841.13
'07,2007,753890.15,863300.25
'08,2008,725729.39,800323.76
'09,2009,822476.38,910253.40
'10,2010,732309.95,797384.84
'11,2011,892245.44,941804.27
'12,2012,877822.79,907794.19
'13,2013,947870.54,966082.78
'14,Jan. to Sept. 2014,749696.45,749696.45
